transaction_id,is_fraud,xgb_probability,anomaly_score,anomaly_signal,account_id,nlp_signal,risk_score,risk_level
TXN_0073200,0,0.00018972086,-0.0623613625770477,0.46463,NDM_000001,0.015638212971448757,0.14261150302265188,LOW
TXN_0084316,0,0.00035590943,-0.0666418010240171,0.41084,NDM_000001,0.015638212971448757,0.12655759731078126,LOW
TXN_0008952,0,3.717093e-05,-0.0542756617698462,0.56125,NDM_000001,0.015638212971448757,0.17152122805849382,LOW
TXN_0014160,0,0.0003862451,-0.0637285112881758,0.44758,NDM_000001,0.015638212971448757,0.13759476515037355,LOW
TXN_0005765,0,0.00010306998,-0.0195561031104384,0.87052,NDM_000001,0.015638212971448757,0.26433517758361463,MEDIUM
TXN_0032700,0,3.34365e-05,-0.05135223262479,0.59459,NDM_000001,0.015638212971448757,0.1815213608440432,LOW
TXN_0093922,0,0.00011862057,-0.0427550871103122,0.68763,NDM_000001,0.015638212971448757,0.2094759528792859,LOW
TXN_0023754,0,2.8155268e-05,-0.036089175572164,0.75018,NDM_000001,0.015638212971448757,0.22819572022804,LOW
TXN_0087797,0,0.00015986437,-0.0596839224530535,0.49698,NDM_000001,0.015638212971448757,0.15230157478034378,LOW
TXN_0034148,0,0.00029789456,-0.0500099375202989,0.60994,NDM_000001,0.015638212971448757,0.186258589872211,LOW
TXN_0074374,0,1.565283e-05,-0.0291215457313003,0.8074,NDM_000001,0.015638212971448757,0.24535546900902025,LOW
TXN_0046039,0,0.00019340044,-0.0510072447078253,0.59846,NDM_000001,0.015638212971448757,0.18276234281401826,LOW
TXN_0087150,0,0.00024384122,-0.0473084565044735,0.64006,NDM_000001,0.015638212971448757,0.19526756320396182,LOW
TXN_0058777,0,0.00010325137,-0.0204221960600095,0.86546,NDM_000002,0.016283109819784456,0.2629462476480934,MEDIUM
TXN_0088232,0,6.9502945e-05,-0.0461402411707704,0.65232,NDM_000002,0.016283109819784456,0.19898737343636952,LOW
TXN_0060717,0,0.0003051554,-0.0579346970952293,0.51766,NDM_000002,0.016283109819784456,0.15870719966824123,LOW
TXN_0012358,0,0.00016006784,-0.0562289818408714,0.53856,NDM_000002,0.016283109819784456,0.16490465588245035,LOW
TXN_0017003,0,0.00036681065,-0.0380915316610779,0.73271,NDM_000002,0.016283109819784456,0.22325302728947208,LOW
TXN_0026128,0,0.000572234,-0.0333613769331197,0.7731,NDM_000002,0.016283109819784456,0.23547273895631315,LOW
TXN_0089319,0,6.44869e-05,-0.0507178281695163,0.60187,NDM_000002,0.016283109819784456,0.1838498654137799,LOW
TXN_0012691,0,5.1510055e-05,-0.0538840425289183,0.56577,NDM_000002,0.016283109819784456,0.17301337699126595,LOW
TXN_0094179,0,0.00011067712,-0.0357857430022039,0.75306,NDM_000002,0.016283109819784456,0.22922996052560818,LOW
TXN_0065455,0,6.102445e-05,-0.043276463798038,0.68206,NDM_000002,0.016283109819784456,0.20790513418879608,LOW
TXN_0076288,0,0.0002472239,-0.0261647989064177,0.82894,NDM_000002,0.016283109819784456,0.2520622339209081,MEDIUM
